timestamp,value,volume
2023-02-27,23492.09,283706.08590000
2023-02-28,23141.57,264140.99894000
2023-03-01,23628.97,315287.41737000
2023-03-02,23465.32,239315.45219000
2023-03-03,22354.34,319954.19785000
2023-03-04,22346.57,121257.38132000
2023-03-05,22430.24,154841.75786000
2023-03-06,22410.00,203751.82957000
2023-03-07,22197.96,292519.80912000
2023-03-08,21705.44,301460.57272000
2023-03-09,20362.22,443658.28584000
2023-03-10,20150.69,618456.46710000
2023-03-11,20455.73,427831.82133000
2023-03-12,21997.11,430944.94288000
2023-03-13,24113.48,687889.31259000
2023-03-14,24670.41,699360.93423000
2023-03-15,24285.66,581450.72984000
2023-03-16,24998.78,439421.32998000
2023-03-17,27395.13,624460.68091000
2023-03-18,26907.49,371238.97174000
2023-03-19,27972.87,372066.99054000
2023-03-20,27717.01,477378.23373000
2023-03-21,28105.47,420929.74220000
2023-03-22,27250.97,224113.41296000
2023-03-23,28295.41,128649.60818000
2023-03-24,27454.47,86242.06544000
2023-03-25,27462.95,50844.08102000
2023-03-26,27968.05,49671.70353000
2023-03-27,27124.91,88039.46898000
2023-03-28,27261.07,78602.44341000
2023-03-29,28348.60,89486.16008000
2023-03-30,28028.53,98865.43256000
2023-03-31,28465.36,78198.12139000
2023-04-01,28452.73,30238.44753000
2023-04-02,28171.87,37365.65692000
2023-04-03,27800.00,79180.01405000
2023-04-04,28165.47,49722.55691000
2023-04-05,28170.01,60737.64732000
2023-04-06,28033.82,40118.94963000
2023-04-07,27906.33,24762.09387000
2023-04-08,27938.38,19479.96735000
2023-04-09,28323.76,32531.16101000
2023-04-10,29637.34,67754.06220000
2023-04-11,30200.42,67990.07621000
2023-04-12,29888.07,62049.48451000
2023-04-13,30373.84,51934.11731000
2023-04-14,30466.93,75984.19452000
2023-04-15,30295.09,25429.81247000
2023-04-16,30304.65,26431.99322000
2023-04-17,29430.27,56441.81127000
2023-04-18,30380.01,62004.89434000
2023-04-19,28797.10,86575.48656000
2023-04-20,28243.65,76879.09372000
2023-04-21,27262.84,77684.76790000
2023-04-22,27816.85,36023.69686000
2023-04-23,27590.60,34812.09581000
2023-04-24,27510.93,53111.56874000
2023-04-25,28300.79,52325.14637000
2023-04-26,28415.29,129228.40403000
2023-04-27,29472.77,95430.82431000
2023-04-28,29311.70,54298.16578000
2023-04-29,29230.45,20466.83058000
2023-04-30,29233.21,39752.53720000
2023-05-01,28068.26,64433.65958000
2023-05-02,28669.86,50824.52240000
2023-05-03,29026.16,64615.79213000
2023-05-04,28838.16,42575.47501000
2023-05-05,29505.61,58415.83048000
2023-05-06,28848.20,49249.28459000
2023-05-07,28430.10,30003.41028000
2023-05-08,27668.79,68244.36179000
2023-05-09,27628.27,40113.31069000
2023-05-10,27598.75,71155.11355000
2023-05-11,26968.62,47635.31365000
2023-05-12,26795.01,67207.93494000
2023-05-13,26775.28,22814.90421000
2023-05-14,26917.62,21594.80360000
2023-05-15,27162.14,40430.08333000
2023-05-16,27033.84,33270.45451000
2023-05-17,27405.61,42958.97785000
2023-05-18,26821.28,49198.65143000
2023-05-19,26880.26,28754.13544000
2023-05-20,27102.43,14434.54718000
2023-05-21,26747.78,21347.87279000
2023-05-22,26849.27,26458.83828000
2023-05-23,27219.61,38700.83858000
2023-05-24,26329.01,54393.06570000
2023-05-25,26473.79,37435.44895000
2023-05-26,26705.92,35061.18713000
2023-05-27,26854.27,15095.68670000
2023-05-28,28065.00,43916.00855000
2023-05-29,27736.40,42385.41945000
2023-05-30,27694.40,32686.75371000
2023-05-31,27210.35,46588.80573000
2023-06-01,26817.93,39217.80880000
2023-06-02,27242.59,36380.90269000
2023-06-03,27069.22,16595.34117000
2023-06-04,27115.21,19258.41049000
2023-06-05,25728.20,65805.60305000
2023-06-06,27230.08,68392.60438000
2023-06-07,26339.34,59619.44364000
2023-06-08,26498.61,31075.51083000
2023-06-09,26477.81,27934.70970000
2023-06-10,25841.21,64944.60108000
2023-06-11,25925.55,30014.29595000
2023-06-12,25905.19,29900.50893000
2023-06-13,25934.25,41065.60853000
2023-06-14,25128.60,45077.31608000
2023-06-15,25598.49,48664.86063000
2023-06-16,26345.00,51596.91662000
2023-06-17,26516.99,27842.21950000
2023-06-18,26339.97,21538.31022000
2023-06-19,26844.35,35872.65974000
2023-06-20,28307.99,69666.95525000
2023-06-21,29993.89,108926.40412000
2023-06-22,29884.92,59054.56460000
2023-06-23,30688.50,73931.89635000
